match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
11,12/12/20,H,Lars Stindl,Borussia Mönchengladbach,Hertha BSC,14,1:1,,,5'
12,12/15/20,A,Lars Stindl,Borussia Mönchengladbach,E. Frankfurt,5,3:3,3,,90'
13,12/19/20,H,Lars Stindl,Borussia Mönchengladbach,TSG Hoffenheim,11,1:2,1,,88'
14,1/2/21,A,Lars Stindl,Borussia Mönchengladbach,Arm. Bielefeld,15,0:1,,,90'
15,1/8/21,H,Lars Stindl,Borussia Mönchengladbach,FC Bayern,1,3:2,,2,82'
16,1/16/21,A,Lars Stindl,Borussia Mönchengladbach,VfB Stuttgart,9,2:2,1,1,72'
17,1/19/21,H,Lars Stindl,Borussia Mönchengladbach,Werder Bremen,17,1:0,,,31'
18,1/22/21,H,Lars Stindl,Borussia Mönchengladbach,Bor. Dortmund,3,4:2,,1,71'
19,1/30/21,A,Lars Stindl,Borussia Mönchengladbach,Union Berlin,7,1:1,,,15'
20,2/6/21,H,Lars Stindl,Borussia Mönchengladbach,1. FC Köln,16,1:2,,1,90'
21,2/14/21,A,Lars Stindl,Borussia Mönchengladbach,VfL Wolfsburg,4,0:0,,,90'
22,2/20/21,H,Lars Stindl,Borussia Mönchengladbach,1.FSV Mainz 05,12,1:2,1,,90'
23,2/27/21,A,Lars Stindl,Borussia Mönchengladbach,RB Leipzig,2,3:2,,,10'
25,3/12/21,A,Lars Stindl,Borussia Mönchengladbach,FC Augsburg,13,3:1,,,90'
26,3/20/21,A,Lars Stindl,Borussia Mönchengladbach,FC Schalke 04,18,0:3,1,,83'
27,4/3/21,H,Lars Stindl,Borussia Mönchengladbach,SC Freiburg,10,2:1,,1,90'
28,4/10/21,A,Lars Stindl,Borussia Mönchengladbach,Hertha BSC,14,2:2,1,,61'
32,5/8/21,A,Lars Stindl,Borussia Mönchengladbach,FC Bayern,1,6:0,,,21'
33,5/15/21,H,Lars Stindl,Borussia Mönchengladbach,VfB Stuttgart,9,1:2,1,,90'
34,5/22/21,A,Lars Stindl,Borussia Mönchengladbach,Werder Bremen,17,2:4,1,2,74'
1,9/18/20,H,Thomas Müller,Bayern Munich,FC Schalke 04,18,8:0,1,1,83'
2,9/27/20,A,Thomas Müller,Bayern Munich,TSG Hoffenheim,11,4:1,,1,90'
3,10/4/20,H,Thomas Müller,Bayern Munich,Hertha BSC,14,4:3,,1,90'
4,10/17/20,A,Thomas Müller,Bayern Munich,Arm. Bielefeld,15,1:4,2,1,90'
5,10/24/20,H,Thomas Müller,Bayern Munich,E. Frankfurt,5,5:0,,,68'
6,10/31/20,A,Thomas Müller,Bayern Munich,1. FC Köln,16,1:2,1,,90'
7,11/7/20,A,Thomas Müller,Bayern Munich,Bor. Dortmund,3,2:3,,,90'
8,11/21/20,H,Thomas Müller,Bayern Munich,Werder Bremen,17,1:1,,,90'
9,11/28/20,A,Thomas Müller,Bayern Munich,VfB Stuttgart,9,1:3,,1,90'
10,12/5/20,H,Thomas Müller,Bayern Munich,RB Leipzig,2,3:3,2,,90'
11,12/12/20,A,Thomas Müller,Bayern Munich,Union Berlin,7,1:1,,,90'
12,12/16/20,H,Thomas Müller,Bayern Munich,VfL Wolfsburg,4,2:1,,,90'
13,12/19/20,A,Thomas Müller,Bayern Munich,Bay. Leverkusen,6,1:2,,1,90'
14,1/3/21,H,Thomas Müller,Bayern Munich,1.FSV Mainz 05,12,5:2,,2,88'
15,1/8/21,A,Thomas Müller,Bayern Munich,Bor. M'gladbach,8,3:2,,,90'
16,1/17/21,H,Thomas Müller,Bayern Munich,SC Freiburg,10,2:1,1,1,87'
17,1/20/21,A,Thomas Müller,Bayern Munich,FC Augsburg,13,0:1,,,89'
18,1/24/21,A,Thomas Müller,Bayern Munich,FC Schalke 04,18,0:4,2,,90'
19,1/30/21,H,Thomas Müller,Bayern Munich,TSG Hoffenheim,11,4:1,1,,74'
20,2/5/21,A,Thomas Müller,Bayern Munich,Hertha BSC,14,0:1,,1,90'
23,2/27/21,H,Thomas Müller,Bayern Munich,1. FC Köln,16,5:1,,1,26'
24,3/6/21,H,Thomas Müller,Bayern Munich,Bor. Dortmund,3,4:2,,,90'
25,3/13/21,A,Thomas Müller,Bayern Munich,Werder Bremen,17,1:3,,2,90'
26,3/20/21,H,Thomas Müller,Bayern Munich,VfB Stuttgart,9,4:0,,1,83'
27,4/3/21,A,Thomas Müller,Bayern Munich,RB Leipzig,2,0:1,,1,90'
28,4/10/21,H,Thomas Müller,Bayern Munich,Union Berlin,7,1:1,,1,90'
29,4/17/21,A,Thomas Müller,Bayern Munich,VfL Wolfsburg,4,2:3,,1,90'
30,4/20/21,H,Thomas Müller,Bayern Munich,Bay. Leverkusen,6,2:0,,1,63'
31,4/24/21,A,Thomas Müller,Bayern Munich,1.FSV Mainz 05,12,2:1,,,90'
32,5/8/21,H,Thomas Müller,Bayern Munich,Bor. M'gladbach,8,6:0,1,1,90'
33,5/15/21,A,Thomas Müller,Bayern Munich,SC Freiburg,10,2:2,,2,62'
34,5/22/21,H,Thomas Müller,Bayern Munich,FC Augsburg,13,5:2,,,72'
1,9/19/20,H,Silas Katompa Mvumpa,VfB Stuttgart,SC Freiburg,10,2:3,1,,90'
2,9/26/20,A,Silas Katompa Mvumpa,VfB Stuttgart,1.FSV Mainz 05,12,1:4,1,1,83'
3,10/3/20,H,Silas Katompa Mvumpa,VfB Stuttgart,Bay. Leverkusen,6,1:1,,,57'
4,10/17/20,A,Silas Katompa Mvumpa,VfB Stuttgart,Hertha BSC,14,0:2,,,89'
5,10/23/20,H,Silas Katompa Mvumpa,VfB Stuttgart,1. FC Köln,16,1:1,,,57'
6,10/30/20,A,Silas Katompa Mvumpa,VfB Stuttgart,FC Schalke 04,18,1:1,,,15'
7,11/7/20,H,Silas Katompa Mvumpa,VfB Stuttgart,E. Frankfurt,5,2:2,,,73'
8,11/21/20,A,Silas Katompa Mvumpa,VfB Stuttgart,TSG Hoffenheim,11,3:3,1,,90'
9,11/28/20,H,Silas Katompa Mvumpa,VfB Stuttgart,FC Bayern,1,1:3,,1,90'
10,12/6/20,A,Silas Katompa Mvumpa,VfB Stuttgart,Werder Bremen,17,1:2,2,,90'
11,12/12/20,A,Silas Katompa Mvumpa,VfB Stuttgart,Bor. Dortmund,3,1:5,2,1,67'
12,12/15/20,H,Silas Katompa Mvumpa,VfB Stuttgart,Union Berlin,7,2:2,,,90'
13,12/20/20,A,Silas Katompa Mvumpa,VfB Stuttgart,VfL Wolfsburg,4,1:0,,,60'
14,1/2/21,H,Silas Katompa Mvumpa,VfB Stuttgart,RB Leipzig,2,0:1,,,90'
15,1/10/21,A,Silas Katompa Mvumpa,VfB Stuttgart,FC Augsburg,13,1:4,1,,86'
16,1/16/21,H,Silas Katompa Mvumpa,VfB Stuttgart,Bor. M'gladbach,8,2:2,1,,90'
18,1/23/21,A,Silas Katompa Mvumpa,VfB Stuttgart,SC Freiburg,10,2:1,1,,90'
19,1/29/21,H,Silas Katompa Mvumpa,VfB Stuttgart,1.FSV Mainz 05,12,2:0,1,,84'
20,2/6/21,A,Silas Katompa Mvumpa,VfB Stuttgart,Bay. Leverkusen,6,5:2,,,90'
21,2/13/21,H,Silas Katompa Mvumpa,VfB Stuttgart,Hertha BSC,14,1:1,,,68'
22,2/20/21,A,Silas Katompa Mvumpa,VfB Stuttgart,1. FC Köln,16,0:1,,,85'
23,2/27/21,H,Silas Katompa Mvumpa,VfB Stuttgart,FC Schalke 04,18,5:1,,,86'
24,3/6/21,A,Silas Katompa Mvumpa,VfB Stuttgart,E. Frankfurt,5,1:1,,,90'
25,3/14/21,H,Silas Katompa Mvumpa,VfB Stuttgart,TSG Hoffenheim,11,2:0,,2,88'
