player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Chest,Counter attack goal,Deflected shot on goal,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Right-footed shot,Solo run,Tap-in
Rodri,3.0,1.0,2.0,1453,18,484.3,6.0,1453.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Serge Aurier,3.0,1.0,2.0,599,7,199.7,2.3,599.0,3.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Bergwijn,3.0,1.0,2.0,474,11,158.0,3.7,474.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Trent Alexander-Arnold,3.0,1.0,2.0,1531,19,510.3,6.3,1531.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ademola Lookman,2.0,2.0,0.0,1241,16,620.5,8.0,620.5,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Angelo Ogbonna,2.0,2.0,0.0,1503,17,751.5,8.5,751.5,inf,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Barnes,2.0,2.0,0.0,685,11,342.5,5.5,342.5,inf,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ben Mee,2.0,2.0,0.0,1164,13,582.0,6.5,582.0,inf,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Declan Rice,2.0,2.0,0.0,1530,17,765.0,8.5,765.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Ezri Konsa,2.0,2.0,0.0,1395,16,697.5,8.0,697.5,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Gabriel,2.0,2.0,0.0,1097,13,548.5,6.5,548.5,inf,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Issa Diop,2.0,2.0,0.0,569,9,284.5,4.5,284.5,inf,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jairo Riedewald,2.0,2.0,0.0,998,16,499.0,8.0,499.0,inf,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Jamaal Lascelles,2.0,2.0,0.0,718,8,359.0,4.0,359.0,inf,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jannik Vestergaard,2.0,2.0,0.0,1395,16,697.5,8.0,697.5,inf,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayden Bogle,2.0,2.0,0.0,593,9,296.5,4.5,296.5,inf,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Jóhann Berg Gudmundsson,2.0,2.0,0.0,659,10,329.5,5.0,329.5,inf,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Michael Keane,2.0,2.0,0.0,1630,19,815.0,9.5,815.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Ola Aina,2.0,2.0,0.0,1262,15,631.0,7.5,631.0,inf,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Raúl Jiménez,2.0,2.0,0.0,450,5,225.0,2.5,225.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Romain Saïss,2.0,2.0,0.0,1238,14,619.0,7.0,619.0,inf,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Agüero,2.0,2.0,0.0,225,5,112.5,2.5,112.5,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Takumi Minamino,2.0,2.0,0.0,754,12,377.0,6.0,377.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Trezeguet,2.0,2.0,0.0,540,10,270.0,5.0,270.0,inf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Alex Iwobi,2.0,1.0,1.0,843,16,421.5,8.0,843.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alex Oxlade-Chamberlain,2.0,1.0,1.0,183,9,91.5,4.5,183.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Benjamin Mendy,2.0,1.0,1.0,550,8,275.0,4.0,550.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Conor Hourihane,2.0,1.0,1.0,154,3,77.0,1.5,154.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
César Azpilicueta,2.0,1.0,1.0,1129,14,564.5,7.0,1129.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Daniel Podence,2.0,1.0,1.0,927,13,463.5,6.5,927.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Darnell Furlong,2.0,1.0,1.0,1357,16,678.5,8.0,1357.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
